epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.218,3.42534,9.17036,1.44622,0.00041,0.05665,0.00023,9e-05,3.57192,5.63628,1.39778,0.000657895,0.000657895,0.000657895
2,102.277,3.493,6.20987,1.35681,0.26133,0.05825,0.04159,0.01579,3.60101,3.66995,1.42918,0.00119343,0.00119343,0.00119343
3,148.067,3.49778,4.80347,1.35055,0.22897,0.08935,0.0622,0.0231,3.5891,4.4196,1.38956,0.00159696,0.00159696,0.00159696
4,195.361,3.33581,3.91051,1.33256,0.35006,0.09506,0.07673,0.03296,3.41953,3.15257,1.35996,0.001406,0.001406,0.001406
5,241.582,3.33489,3.59139,1.3128,0.37157,0.12433,0.10537,0.04543,3.26865,2.98749,1.3057,0.001208,0.001208,0.001208
6,287.058,3.30516,3.35434,1.30624,0.38341,0.14068,0.11907,0.04738,3.29144,2.81519,1.31341,0.00101,0.00101,0.00101
7,332.736,3.11935,3.03453,1.27217,0.51148,0.14053,0.15103,0.06212,3.16768,2.87383,1.32378,0.000812,0.000812,0.000812
8,379.231,3.04302,2.95706,1.25223,0.44623,0.16198,0.15624,0.06885,3.0617,2.74663,1.26003,0.000614,0.000614,0.000614
9,425.717,2.91955,2.81372,1.20322,0.51817,0.16768,0.17848,0.0796,3.04552,2.56438,1.26726,0.000416,0.000416,0.000416
10,472.75,2.88485,2.71374,1.18273,0.50218,0.17262,0.17962,0.08364,3.04432,2.48943,1.28154,0.000218,0.000218,0.000218
